ベンダ,GRAPHTEC Corporation
モデル,GL900
バージョン,Ver2.09
測定間隔,2ms
測定点数,5000        
トリガ点,1                    
開始時刻,2015-10-05,14:24:11
終了時刻,2015-10-05,14:24:21
トリガ時刻,2015-10-05,14:24:11
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1, " CH 1",TEMP,TC_K,Off,300.000,-100.000,ﾟC
CH2, " CH 2",DC,1-5V,Off,401.000,1.000,kPa
CH3, " CH 3",DC,10V,Off,114.300,0.000,ml
Logic/Pulse,Off
XY1,On,CH3,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH1
XY4,Off,CH1,CH1

測定値
番号,日付,時間,us,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm,AlarmOut
NO.,Date,Time,us,ﾟC,kPa,ml,,,,,
158,2015/10/05,14:24:11,314000,+25.7,+102.2,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
159,2015/10/05,14:24:11,316000,+25.2,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
160,2015/10/05,14:24:11,318000,+25.1,+102.2,+59.91,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
161,2015/10/05,14:24:11,320000,+25.3,+102.5,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
162,2015/10/05,14:24:11,322000,+25.6,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
163,2015/10/05,14:24:11,324000,+25.1,+102.5,+59.90,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
164,2015/10/05,14:24:11,326000,+25.6,+102.2,+59.91,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
165,2015/10/05,14:24:11,328000,+25.3,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
166,2015/10/05,14:24:11,330000,+25.4,+102.1,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
167,2015/10/05,14:24:11,332000,+25.6,+102.5,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
168,2015/10/05,14:24:11,334000,+25.7,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
169,2015/10/05,14:24:11,336000,+25.1,+102.6,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
170,2015/10/05,14:24:11,338000,+25.4,+102.1,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
171,2015/10/05,14:24:11,340000,+25.4,+102.4,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
172,2015/10/05,14:24:11,342000,+25.2,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
173,2015/10/05,14:24:11,344000,+24.9,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
174,2015/10/05,14:24:11,346000,+25.2,+102.4,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
175,2015/10/05,14:24:11,348000,+24.8,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
176,2015/10/05,14:24:11,350000,+25.1,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
177,2015/10/05,14:24:11,352000,+25.9,+102.3,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
178,2015/10/05,14:24:11,354000,+25.7,+102.4,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
179,2015/10/05,14:24:11,356000,+25.7,+102.2,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
180,2015/10/05,14:24:11,358000,+25.4,+102.3,+59.91,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
181,2015/10/05,14:24:11,360000,+25.8,+102.4,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
182,2015/10/05,14:24:11,362000,+25.2,+102.5,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
183,2015/10/05,14:24:11,364000,+25.4,+102.4,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
